round	copies_cat	value	label	copies_cat_label
16.0	1	0.09792249209351163	prev_among_par	bd_copies
16.0	2	0.0013476458530251438	prev_among_par	40_200_copies
16.0	3	0.009418882744574102	prev_among_par	200_1000_copies
16.0	4	0.08245441904710349	prev_among_par	1000_inf_copies
17.0	1	0.12785794538116732	prev_among_par	bd_copies
17.0	2	0.0008384458855142525	prev_among_par	40_200_copies
17.0	3	0.007008122962571142	prev_among_par	200_1000_copies
17.0	4	0.05367666675183552	prev_among_par	1000_inf_copies
18.0	1	0.14334770352627368	prev_among_par	bd_copies
18.0	2	0.0006665575706671403	prev_among_par	40_200_copies
18.0	3	0.005008049582517558	prev_among_par	200_1000_copies
18.0	4	0.037172143550856254	prev_among_par	1000_inf_copies
19.0	1	0.14578310541341513	prev_among_par	bd_copies
19.0	2	0.0016871808506678232	prev_among_par	40_200_copies
19.0	3	0.004381339587339209	prev_among_par	200_1000_copies
19.0	4	0.023902342046981894	prev_among_par	1000_inf_copies
20.0	1	0.15940574062905247	prev_among_par	bd_copies
20.0	2	0.0008253425982118855	prev_among_par	40_200_copies
20.0	3	0.0036078808173909626	prev_among_par	200_1000_copies
20.0	4	0.017545882919720014	prev_among_par	1000_inf_copies
16.0	3	0.10252034661746878	prev_among_viremic	200_1000_copies
16.0	4	0.8974796533825312	prev_among_viremic	1000_inf_copies
17.0	3	0.11548401165353965	prev_among_viremic	200_1000_copies
17.0	4	0.8845159883464605	prev_among_viremic	1000_inf_copies
18.0	3	0.11872988743038944	prev_among_viremic	200_1000_copies
18.0	4	0.8812701125696106	prev_among_viremic	1000_inf_copies
19.0	3	0.1549069758309905	prev_among_viremic	200_1000_copies
19.0	4	0.8450930241690096	prev_among_viremic	1000_inf_copies
20.0	3	0.17055503040631484	prev_among_viremic	200_1000_copies
20.0	4	0.8294449695936852	prev_among_viremic	1000_inf_copies
