round	0.025	0.25	0.5	0.75	0.975	label	copies_cat	copies_cat_label
16.0	0.0076584276775949825	0.008783902717176658	0.009424597671913755	0.010114544568386011	0.011479285326351573	prev_among_par	2	200_1000_copies
17.0	0.006292169429018666	0.007247669815648401	0.007796441489736697	0.008359800173384222	0.009545141915493691	prev_among_par	2	200_1000_copies
18.0	0.0044728782163003	0.005270124337951715	0.005706251926130562	0.006184738630204342	0.0071626671357364995	prev_among_par	2	200_1000_copies
19.0	0.004368119784677343	0.005172888159586456	0.005646523248763677	0.006156751015999214	0.007240250313871925	prev_among_par	2	200_1000_copies
20.0	0.0033027922476028715	0.0040044515404910955	0.004437836165822529	0.004891004876293969	0.0058350956371450765	prev_among_par	2	200_1000_copies
16.0	0.09249361784873891	0.1044069765101268	0.11071973146309796	0.11735737062155802	0.13084980434163718	prev_among_viremic	2	200_1000_copies
17.0	0.10625265386954771	0.11943254707144696	0.12680133629204085	0.13444133049543006	0.14997250676593796	prev_among_viremic	2	200_1000_copies
18.0	0.09745247042043417	0.11198697646702083	0.12001714684968832	0.12838402542642344	0.14583163500895174	prev_among_viremic	2	200_1000_copies
19.0	0.12632056983899675	0.14484156346732627	0.15582993923562719	0.16739327394386783	0.189917425934191	prev_among_viremic	2	200_1000_copies
20.0	0.12617044907145686	0.14876045004413924	0.16192087469256072	0.17530936891261517	0.2037484149700672	prev_among_viremic	2	200_1000_copies
